tool,version,platform,asset,sha256,kind,url
typst,0.15.1,Linux-x86_64,typst-x86_64-unknown-linux-musl.tar.xz,a6d077d0a95eed5a2eba715b2dae06be954f624ccbf85758a03f389ded33118c,archive,https://github.com/typst/typst/releases/download/v0.15.1/typst-x86_64-unknown-linux-musl.tar.xz
typst,0.15.1,Linux-aarch64,typst-aarch64-unknown-linux-musl.tar.xz,5aa8d74a3d906e60ea12a66ac2f37f8eef1b14cbad7182a745e393a10c23dcee,archive,https://github.com/typst/typst/releases/download/v0.15.1/typst-aarch64-unknown-linux-musl.tar.xz
typst,0.15.1,Darwin-x86_64,typst-x86_64-apple-darwin.tar.xz,7f9fdd9584866245de9a79e0add8f9236fae6f40a8a45e2c4771ccc14db4e0fa,archive,https://github.com/typst/typst/releases/download/v0.15.1/typst-x86_64-apple-darwin.tar.xz
typst,0.15.1,Darwin-aarch64,typst-aarch64-apple-darwin.tar.xz,48f62ed034aa3a7978309579ac6ca00045e2ef0da73114e8af27cfd8e74dc05a,archive,https://github.com/typst/typst/releases/download/v0.15.1/typst-aarch64-apple-darwin.tar.xz
typst,0.15.1,Windows-x86_64,typst-x86_64-pc-windows-msvc.zip,19ce3551153c2fe7ee9fa2f95208310c8f4d3209fedb699e0333faf8913f6736,archive,https://github.com/typst/typst/releases/download/v0.15.1/typst-x86_64-pc-windows-msvc.zip
typst,0.15.1,Windows-aarch64,typst-aarch64-pc-windows-msvc.zip,4ab28e1b71ec3184d38d580ab797f499b6770d952b6b19167be5cea5c2662e14,archive,https://github.com/typst/typst/releases/download/v0.15.1/typst-aarch64-pc-windows-msvc.zip
typstyle,0.15.1,Linux-x86_64,typstyle-x86_64-unknown-linux-gnu,213c11bc2c64f7237c382b4bb1d06991530ed9d44d3a05204ca3c19615d55b99,file,https://github.com/typstyle-rs/typstyle/releases/download/v0.15.1/typstyle-x86_64-unknown-linux-gnu
typstyle,0.15.1,Linux-aarch64,typstyle-aarch64-unknown-linux-gnu,2e7bff51079d2f1faaf8629972e79c3d51a3deeaf9b16386ea83334b94773ad1,file,https://github.com/typstyle-rs/typstyle/releases/download/v0.15.1/typstyle-aarch64-unknown-linux-gnu
typstyle,0.15.1,Darwin-x86_64,typstyle-x86_64-apple-darwin,d24debaf653664c64622871df68239d92841261c5c894034120f4a6a74c943ab,file,https://github.com/typstyle-rs/typstyle/releases/download/v0.15.1/typstyle-x86_64-apple-darwin
typstyle,0.15.1,Darwin-aarch64,typstyle-aarch64-apple-darwin,f97b74f3a3dfb43ece4e627753d2dae703af2b77f114fb0f1e766f7f1bad5fa1,file,https://github.com/typstyle-rs/typstyle/releases/download/v0.15.1/typstyle-aarch64-apple-darwin
typstyle,0.15.1,Windows-x86_64,typstyle-x86_64-pc-windows-msvc.exe,5bed3082e1668561c95e976888d694699650dd194ac23e0d08d4106c7496a48f,file,https://github.com/typstyle-rs/typstyle/releases/download/v0.15.1/typstyle-x86_64-pc-windows-msvc.exe
typstyle,0.15.1,Windows-aarch64,typstyle-aarch64-pc-windows-msvc.exe,c5b23f3acbae4956e46073845619b815fc965b167412ed9b9656c54c72d8adcd,file,https://github.com/typstyle-rs/typstyle/releases/download/v0.15.1/typstyle-aarch64-pc-windows-msvc.exe
uv,0.12.9,Linux-x86_64,uv-x86_64-unknown-linux-musl.tar.gz,aa4b1f8770910f7c7c543c7acc980e4270e52e70750c996acef813ea1c7c2912,archive,https://github.com/astral-sh/uv/releases/download/0.12.9/uv-x86_64-unknown-linux-musl.tar.gz
uv,0.12.9,Linux-aarch64,uv-aarch64-unknown-linux-musl.tar.gz,7eb9bf48516448c9db6a9e436d8e747ac9c8a9cac74717160a29918249b080a6,archive,https://github.com/astral-sh/uv/releases/download/0.12.9/uv-aarch64-unknown-linux-musl.tar.gz
uv,0.12.9,Darwin-x86_64,uv-x86_64-apple-darwin.tar.gz,e1ca175824f1056589ce9908f7631879ebc3c36535b5e63dc06510beb370b4c1,archive,https://github.com/astral-sh/uv/releases/download/0.12.9/uv-x86_64-apple-darwin.tar.gz
uv,0.12.9,Darwin-aarch64,uv-aarch64-apple-darwin.tar.gz,301f72afaf54060f92da7016cb0115bd077f43a9c8e39c1d8170a0bac80fd398,archive,https://github.com/astral-sh/uv/releases/download/0.12.9/uv-aarch64-apple-darwin.tar.gz
uv,0.12.9,Windows-x86_64,uv-x86_64-pc-windows-msvc.zip,ddbfcee1ac615a0499f6aa97b5ec8ebdf3ee4a7714a48055ec2ba0030e3cf810,archive,https://github.com/astral-sh/uv/releases/download/0.12.9/uv-x86_64-pc-windows-msvc.zip
uv,0.12.9,Windows-aarch64,uv-aarch64-pc-windows-msvc.zip,d3360363a3cb671f2c854f4ef48cf4a57fe8664f8ec6a248076d68b797a8acc0,archive,https://github.com/astral-sh/uv/releases/download/0.12.9/uv-aarch64-pc-windows-msvc.zip
